activity,session,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
jumping,jumping-2026-06-28_17-27-31,3,2.2946385020919258,2.2946385020919258,7.29544204139988,1.0740513829752736,-0.8374979500311488,-0.4495059799709856,-0.08357480419829906,1.385146286247983
jumping,jumping-2026-06-28_17-27-31,3,2.3046448022419628,2.3046448022419628,6.826216546741093,1.1415977419689365,-0.6626310757443526,-0.47646746929328226,-0.25823247270628785,1.1297255080218478
jumping,jumping-2026-06-28_17-27-31,3,2.314651102392,2.314651102392,6.053610041765117,1.07259944453384,-0.6139556747315342,-0.4430093487014252,-0.3619158983337196,0.8217418298707506
jumping,jumping-2026-06-28_17-27-31,3,2.324657402542037,2.324657402542037,5.245232450703241,0.8889899540184553,-0.6618429795590779,-0.38162379681883146,-0.37704196895889136,0.4969641534002397
jumping,jumping-2026-06-28_17-27-31,3,2.334663702692074,2.334663702692074,4.416632637112954,0.7301148397703081,-0.6043916395518051,-0.3210975709730848,-0.3423753696258029,0.20729342272170528
jumping,jumping-2026-06-28_17-27-31,3,2.344670002842111,2.344670002842111,3.582395499722683,0.4969577294346369,-0.3428039921632171,-0.28814587831185784,-0.33810456895492136,-0.025841637660732067
jumping,jumping-2026-06-28_17-27-31,3,2.354676302992148,2.354676302992148,2.4487445549359035,0.22474924416239883,0.11685452858716375,-0.3115511033894398,-0.4671786167263146,-0.21805476492143158
jumping,jumping-2026-06-28_17-27-31,3,2.364682603142185,2.364682603142185,1.011896924215789,0.03063950882197552,0.7287064667662222,-0.3592119822175173,-0.7015722915072362,-0.33572734847401614
jumping,jumping-2026-06-28_17-27-31,3,2.374688903292222,2.374688903292222,-0.37670807770411263,-0.1895779312110992,1.0511371878615237,-0.37250494429670367,-0.8880867406779911,-0.3307287373084386
jumping,jumping-2026-06-28_17-27-31,3,2.384695203442259,2.384695203442259,-1.2546137116348695,-0.3555962808565413,0.8670082690039499,-0.3479672723333346,-0.8386677937769392,-0.17746196050555937
jumping,jumping-2026-06-28_17-27-31,3,2.394701503592296,2.394701503592296,-1.439176965416581,-0.35033324100833413,0.5785787310938519,-0.3501167110009999,-0.5679563640199725,0.06451542250089773
jumping,jumping-2026-06-28_17-27-31,3,2.404707803742333,2.404707803742333,-1.6632872228413274,-0.2925752052388399,0.49455572223154265,-0.4141099799480708,-0.3813710397147036,0.2791450207101038
jumping,jumping-2026-06-28_17-27-31,3,2.41471410389237,2.41471410389237,-2.853168597307609,-0.22014545159254745,0.6212884689669992,-0.4925623971619688,-0.552618615724561,0.36618966220026505
jumping,jumping-2026-06-28_17-27-31,3,2.424720404042407,2.424720404042407,-4.736688856398564,-0.4562966031942688,0.7896253662735339,-0.5154639680536484,-0.9192684932652113,0.3418175716244076
jumping,jumping-2026-06-28_17-27-31,3,2.434726704192444,2.434726704192444,-6.126312664778493,-0.9319311527617415,0.8691007437894064,-0.4716005931348569,-1.1420371833249843,0.2569686806569811
jumping,jumping-2026-06-28_17-27-31,3,2.444733004342481,2.444733004342481,-6.918060127743253,-1.1962321024861822,0.739021008052081,-0.4029570644542052,-1.0716550117485382,0.1678804692830442
jumping,jumping-2026-06-28_17-27-31,3,2.454739304492518,2.454739304492518,-7.370425283378966,-1.104895966851952,0.46373914810218775,-0.3178610874367665,-0.7495964646338944,0.10567746939526615
jumping,jumping-2026-06-28_17-27-31,3,2.464745604642555,2.464745604642555,-7.457003313143825,-0.8436391137297874,0.1064318287530471,-0.211054272394175,-0.2788320923257196,0.07410163382774253
jumping,jumping-2026-06-28_17-27-31,3,2.474751904792592,2.474751904792592,-7.341679797059698,-0.6259340673813286,-0.24004158841611634,-0.07720878547225418,0.13495211856822417,0.0514648946529078
jumping,jumping-2026-06-28_17-27-31,3,2.484758204942629,2.484758204942629,-7.291591469762995,-0.6231464606113258,-0.35719777099336264,0.04744021410987768,0.33434070094134893,0.006905022816699592
jumping,jumping-2026-06-28_17-27-31,3,2.4947645050926663,2.4947645050926663,-7.2554780652051365,-0.8808956808434435,-0.10170531254264972,0.10981292086106817,0.26365436356998145,-0.07804755654594586
jumping,jumping-2026-06-28_17-27-31,3,2.5047708052427033,2.5047708052427033,-7.214946988699377,-1.1113341588067072,0.25765650838527937,0.11246989978470846,0.013261101132412342,-0.2068523235052041
jumping,jumping-2026-06-28_17-27-31,3,2.5147771053927404,2.5147771053927404,-7.077296050866257,-1.2129191630881682,0.3984418398363394,0.1133102092755238,-0.2296692663002357,-0.3324603882343654
jumping,jumping-2026-06-28_17-27-31,3,2.5247834055427774,2.5247834055427774,-6.479907873525285,-1.3268172436313888,0.2291307907580011,0.17617055926922034,-0.27680539441380225,-0.3985146334255621
jumping,jumping-2026-06-28_17-27-31,3,2.5347897056928144,2.5347897056928144,-5.3962713882398265,-1.3727541016204816,-0.15673146164733387,0.272965542459594,-0.12716663833981356,-0.4006407402543936
jumping,jumping-2026-06-28_17-27-31,3,2.5447960058428514,2.5447960058428514,-4.216884559518116,-1.3492764669777062,-0.5019167030070438,0.37938232581222314,0.10671013957683062,-0.3510548054354512
jumping,jumping-2026-06-28_17-27-31,3,2.5548023059928884,2.5548023059928884,-3.072642915517852,-1.4470847444952362,-0.7281569244152513,0.4814481374370028,0.3394635346896549,-0.27732328343571705
jumping,jumping-2026-06-28_17-27-31,3,2.5648086061429254,2.5648086061429254,-2.014928241448306,-1.617103358805249,-0.8514967282768258,0.5324509975812768,0.49456332418547483,-0.2015708777141537
jumping,jumping-2026-06-28_17-27-31,3,2.5748149062929624,2.5748149062929624,-1.0818286694676604,-1.6725270731420232,-0.7643632506267105,0.5184322837950068,0.5469529080933884,-0.14301383395937262
jumping,jumping-2026-06-28_17-27-31,3,2.5848212064429994,2.5848212064429994,-0.21449263841298752,-1.6755706349898654,-0.635755505825047,0.452979148019805,0.5198474707194579,-0.10360027567742305
jumping,jumping-2026-06-28_17-27-31,3,2.5948275065930364,2.5948275065930364,0.5852345940334991,-1.6516658284870327,-0.5723353467625489,0.33919367167759906,0.4616387572129131,-0.07440701908571534
jumping,jumping-2026-06-28_17-27-31,3,2.6048338067430734,2.6048338067430734,1.298028414972906,-1.4834790840933416,-0.48618023379888214,0.19029703003174164,0.3837548210893996,-0.06092227637812982
jumping,jumping-2026-06-28_17-27-31,3,2.6148401068931104,2.6148401068931104,1.8741408130736887,-1.1957973136077382,-0.389489284016091,0.03983500982991397,0.3019729813434135,-0.05848871305684448
jumping,jumping-2026-06-28_17-27-31,3,2.6248464070431474,2.6248464070431474,2.3700629535539517,-0.8990853921951527,-0.31158025727412536,-0.08031889835678852,0.24887042734074352,-0.07485409832748226
jumping,jumping-2026-06-28_17-27-31,3,2.6348527071931844,2.6348527071931844,2.8086457491475367,-0.6104829803634482,-0.27865727248778965,-0.15622001373406907,0.2299843536867013,-0.1248173556961512
jumping,jumping-2026-06-28_17-27-31,3,2.6448590073432214,2.6448590073432214,3.1425172649306323,-0.3428982486498692,-0.2934977445118112,-0.16179047141130465,0.23485499665095236,-0.1889292500525044
jumping,jumping-2026-06-28_17-27-31,3,2.6548653074932584,2.6548653074932584,3.450384434353562,-0.12814332797325262,-0.3733837266958023,-0.09656063962676453,0.25710259553519127,-0.23245448679148842
jumping,jumping-2026-06-28_17-27-31,3,2.6648716076432954,2.6648716076432954,3.8095708147665035,0.06883165961969345,-0.49304121809547413,0.007746780507813487,0.2954562033703583,-0.2266177406707222
jumping,jumping-2026-06-28_17-27-31,3,2.6748779077933325,2.6748779077933325,4.276764126897085,0.30199552117858025,-0.6633154510051251,0.12126113165003341,0.3222392226140871,-0.16483015969261805
jumping,jumping-2026-06-28_17-27-31,3,2.6848842079433695,2.6848842079433695,4.742967906960517,0.5302274203833977,-0.8130404950357955,0.2148154879520002,0.2920260746726042,-0.047991170783138026
jumping,jumping-2026-06-28_17-27-31,3,2.6948905080934065,2.6948905080934065,5.120154919516134,0.6619488087452349,-0.9071259965073712,0.2571678486358735,0.19860278742409512,0.09998930148936298
jumping,jumping-2026-06-28_17-27-31,3,2.7048968082434435,2.7048968082434435,5.3871855385830045,0.7214303444087852,-0.8945885923578301,0.21413552323392207,0.04335778050940839,0.23860176614467812
jumping,jumping-2026-06-28_17-27-31,3,2.7149031083934805,2.7149031083934805,5.417379796326489,0.8052155582934664,-0.7573372109768849,0.10080793958155516,-0.12540800979544836,0.3332675424788222
jumping,jumping-2026-06-28_17-27-31,3,2.7249094085435175,2.7249094085435175,5.33774392175849,0.8892648391233288,-0.6372214677919013,-0.03609950773336657,-0.24855322980489686,0.38244817227847705
jumping,jumping-2026-06-28_17-27-31,3,2.7349157086935545,2.7349157086935545,5.341846848798425,0.9732345942133763,-0.5961761185322051,-0.1520223022672021,-0.3233289791142742,0.383356022664832
jumping,jumping-2026-06-28_17-27-31,3,2.7449220088435915,2.7449220088435915,5.203818379061116,1.0644814462620016,-0.6612444988602788,-0.22392093626544968,-0.3566896348815575,0.32871007038611233
jumping,jumping-2026-06-28_17-27-31,3,2.7549283089936285,2.7549283089936285,5.003266642279435,1.0948272204814853,-0.7869392733083359,-0.26013028396644855,-0.31705705747657675,0.23197349140456075
jumping,jumping-2026-06-28_17-27-31,3,2.7649346091436655,2.7649346091436655,4.894693642160963,1.1067055214406518,-0.8912226899976364,-0.28129136760584106,-0.2329787509562018,0.12560110219265094
jumping,jumping-2026-06-28_17-27-31,3,2.7749409092937025,2.7749409092937025,4.737375939912521,1.1790682184252732,-0.9003517188840942,-0.3065805205221603,-0.13067253361253298,0.022135828767068145
jumping,jumping-2026-06-28_17-27-31,3,2.7849472094437395,2.7849472094437395,4.447301875811091,1.2789218166303513,-0.8328522225065909,-0.3421408413784919,0.00018400131890704968,-0.06903803025715541
jumping,jumping-2026-06-28_17-27-31,3,2.7949535095937765,2.7949535095937765,4.091904507958571,1.3596464819593177,-0.7785106994627483,-0.3854040695758214,0.20845538717159157,-0.11784521430536955
jumping,jumping-2026-06-28_17-27-31,3,2.8049598097438135,2.8049598097438135,3.8800993812274025,1.4781998341700189,-0.7498832433293453,-0.42804640603371225,0.4946513338411265,-0.09717389200149998
jumping,jumping-2026-06-28_17-27-31,3,2.8149661098938505,2.8149661098938505,3.865026235063887,1.599347918120633,-0.7117821707534092,-0.46227726867136987,0.8033223830766713,-0.013155777765187171
jumping,jumping-2026-06-28_17-27-31,3,2.8249724100438875,2.8249724100438875,3.9288744389178727,1.6310919736705616,-0.6112176467027791,-0.4752188609256047,1.0413057569541262,0.1192013791095747
jumping,jumping-2026-06-28_17-27-31,3,2.8349787101939246,2.8349787101939246,4.002963369996642,1.4990229563499877,-0.3947058885498936,-0.45344554269150456,1.153589295845394,0.28978436960875303
jumping,jumping-2026-06-28_17-27-31,3,2.8449850103439616,2.8449850103439616,4.142382168395731,1.235070709112197,-0.026313237983681625,-0.4114177658850268,1.0856010662853333,0.4621159931342429
jumping,jumping-2026-06-28_17-27-31,3,2.8549913104939986,2.8549913104939986,4.02852537358548,0.9384330809430623,0.5342236265930835,-0.3710020418395885,0.7791394095051213,0.5817712493212654
jumping,jumping-2026-06-28_17-27-31,3,2.8649976106440356,2.8649976106440356,3.3254945681095602,0.4684982748552643,1.1712893161966926,-0.3078010760932891,0.2758532141348343,0.6305400274616887
jumping,jumping-2026-06-28_17-27-31,3,2.8750039107940726,2.8750039107940726,2.3066467245790117,-0.18634107187446725,1.6490739305833901,-0.20131836074571607,-0.26416418031514366,0.6249726595404147
jumping,jumping-2026-06-28_17-27-31,3,2.8850102109441096,2.8850102109441096,1.2935721973342313,-0.6770820692937595,1.7861053658367403,-0.08468093364591955,-0.7072181169343058,0.5751682895998677
jumping,jumping-2026-06-28_17-27-31,3,2.8950165110941466,2.8950165110941466,0.18185826453917453,-0.7636674661256191,1.5906282066620478,0.010119188235373382,-1.0195143699125733,0.4668920552146267
jumping,jumping-2026-06-28_17-27-31,3,2.9050228112441836,2.9050228112441836,-1.3150753460673363,-0.6567784903728865,1.1584041459942922,0.07642487061472569,-1.175105465325612,0.28692859790382563
jumping,jumping-2026-06-28_17-27-31,3,2.9150291113942206,2.9150291113942206,-3.018292518976011,-0.5812665683202418,0.7533503543919482,0.11998326904482054,-1.0858803362848235,0.04356421415156321
jumping,jumping-2026-06-28_17-27-31,3,2.9250354115442576,2.9250354115442576,-4.478323415236278,-0.48665870063419786,0.420716803615878,0.17527150103859268,-0.7797263054909589,-0.2241879328505667
jumping,jumping-2026-06-28_17-27-31,3,2.9350417116942946,2.9350417116942946,-5.828367409020284,-0.4272021567970716,0.004962271088124484,0.2220246437023803,-0.5734377432784453,-0.5157691284081423
jumping,jumping-2026-06-28_17-27-31,3,2.9450480118443316,2.9450480118443316,-7.792091223209206,-0.4086440385579626,-0.22839295936507054,0.21498199898566228,-0.7620929693637409,-0.8349820373697797
jumping,jumping-2026-06-28_17-27-31,3,2.9550543119943686,2.9550543119943686,-10.208802265314638,-0.459850844821841,-0.16901888215806565,0.14316508029864405,-1.1392516567799116,-1.0908539077035124
jumping,jumping-2026-06-28_17-27-31,3,2.9650606121444056,2.9650606121444056,-11.686737555816519,-0.5111688193062427,-0.004095383135577904,0.0330818835168554,-1.2959851289077433,-1.1819962533791724
jumping,jumping-2026-06-28_17-27-31,3,2.9750669122944426,2.9750669122944426,-11.78578328967221,-0.23829457222896336,-0.15315815031376945,-0.0752303475302136,-1.1060274441333016,-1.093212785698191
jumping,jumping-2026-06-28_17-27-31,3,2.9850732124444797,2.9850732124444797,-10.943983214249076,0.4038759072871656,-0.7315321967455778,-0.15206558524948183,-0.6754136431590013,-0.889999523233481
jumping,jumping-2026-06-28_17-27-31,3,2.9950795125945167,2.9950795125945167,-9.63054768874359,0.8967191839575959,-1.2802840082930456,-0.19625334859104104,-0.19167721278818936,-0.6770239017881574
