activity,session,window_id,timestamp,seconds_elapsed,z_accel,y_accel,x_accel,z_gyro,y_gyro,x_gyro
walking,walking1-2026-06-30_22-27-21,1,1.0044639208259016,1.0044639208259016,0.9107037520190624,-1.337605691810183,-1.1118012353980078,-0.3252646396859252,-0.5313629443917969,0.2779928532922164
walking,walking1-2026-06-30_22-27-21,1,1.0144665048224932,1.0144665048224932,0.9540450051573991,-1.1530667586046035,-1.2380406599429121,-0.2979192277596506,-0.4212509815143469,0.35070570289251296
walking,walking1-2026-06-30_22-27-21,1,1.0244690888190848,1.0244690888190848,0.8731936497957269,-1.029797423948223,-1.283127125018221,-0.27076389349995666,-0.29683346410919503,0.4215641011419057
walking,walking1-2026-06-30_22-27-21,1,1.0344716728156764,1.0344716728156764,0.7296024339885128,-1.0240928273734955,-1.295874930322547,-0.23951803739951044,-0.1820108008530761,0.48766097664833147
walking,walking1-2026-06-30_22-27-21,1,1.0444742568122678,1.0444742568122678,0.5912104124941171,-1.054432540959201,-1.2668881945641541,-0.20830574471173702,-0.11622941139078896,0.5452998131781689
walking,walking1-2026-06-30_22-27-21,1,1.0544768408088594,1.0544768408088594,0.5111698928984623,-1.0550776203737002,-1.14252385638505,-0.1719587515191501,-0.12380196302288499,0.5865165724989451
walking,walking1-2026-06-30_22-27-21,1,1.064479424805451,1.064479424805451,0.4966042475543561,-1.1251858736810711,-0.9819727571490565,-0.14408884677224995,-0.2312532315813109,0.5972292593900969
walking,walking1-2026-06-30_22-27-21,1,1.0744820088020426,1.0744820088020426,0.4842017711381659,-1.2517696743897027,-0.8113847638264193,-0.1405041265892295,-0.42754588347509376,0.5550312684455131
walking,walking1-2026-06-30_22-27-21,1,1.0844845927986342,1.0844845927986342,0.35458511199421466,-1.323029875979964,-0.6222893034401108,-0.16434485023915169,-0.6608280152058812,0.4559303115373826
walking,walking1-2026-06-30_22-27-21,1,1.0944871767952258,1.0944871767952258,0.07517028015620773,-1.3321702226971042,-0.42830729057981487,-0.19934723705584037,-0.8649887827120414,0.31693243308510255
walking,walking1-2026-06-30_22-27-21,1,1.1044897607918174,1.1044897607918174,-0.2098646252061226,-1.304012466582907,-0.29387347935119795,-0.23528598660672984,-0.9852587659607568,0.16747052990902972
walking,walking1-2026-06-30_22-27-21,1,1.114492344788409,1.114492344788409,-0.37664227994654687,-1.2450636420089158,-0.254476933939273,-0.2624904643334709,-0.9986089164109878,0.02789901921156574
walking,walking1-2026-06-30_22-27-21,1,1.1244949287850006,1.1244949287850006,-0.4353240930753781,-1.072525195766547,-0.254324984430165,-0.27069390457514,-0.9193339785842427,-0.07948499615734762
walking,walking1-2026-06-30_22-27-21,1,1.1344975127815922,1.1344975127815922,-0.4929604463939188,-0.7907585630351178,-0.32393451259948214,-0.26614525844926634,-0.7608963185464612,-0.1437143466173031
walking,walking1-2026-06-30_22-27-21,1,1.1445000967781838,1.1445000967781838,-0.5071822482761634,-0.5241597877917467,-0.4358715785432511,-0.2616844348408017,-0.5747676199154365,-0.17241915853820314
walking,walking1-2026-06-30_22-27-21,1,1.1545026807747751,1.1545026807747751,-0.3815591854620941,-0.3299756496760276,-0.4689786652328995,-0.26644068624930894,-0.4300347875471036,-0.1952594753277107
walking,walking1-2026-06-30_22-27-21,1,1.1645052647713667,1.1645052647713667,-0.24102489358705795,-0.25336299537697865,-0.43382793481659243,-0.29227133201326533,-0.36550785771087235,-0.23881787019572592
walking,walking1-2026-06-30_22-27-21,1,1.1745078487679583,1.1745078487679583,-0.1799519085827038,-0.2575652352213029,-0.2759533527285511,-0.3408695914468033,-0.4050968442766582,-0.3006906284638472
walking,walking1-2026-06-30_22-27-21,1,1.18451043276455,1.18451043276455,-0.1297731939157778,-0.3262744470799804,-0.016863092003373492,-0.3991412771936123,-0.5175936672054786,-0.3695728267097687
walking,walking1-2026-06-30_22-27-21,1,1.1945130167611415,1.1945130167611415,-0.0703785680663919,-0.4233040808339482,0.25170892422065827,-0.44754450982702093,-0.637642699160074,-0.4464606724514061
walking,walking1-2026-06-30_22-27-21,1,1.2045156007577331,1.2045156007577331,-0.07065314679451051,-0.49571556998788574,0.4964000606907018,-0.4770720376220491,-0.7474144827361914,-0.5453735910540669
walking,walking1-2026-06-30_22-27-21,1,1.2145181847543247,1.2145181847543247,-0.041437845347827004,-0.571445930583012,0.6613551292485675,-0.4868381449596908,-0.856103099851923,-0.6695789672957302
walking,walking1-2026-06-30_22-27-21,1,1.2245207687509163,1.2245207687509163,-0.1580486100875367,-0.5057564146450753,0.7946488426302662,-0.4717213027293493,-0.9126237584428918,-0.7699967567059953
walking,walking1-2026-06-30_22-27-21,1,1.234523352747508,1.234523352747508,-0.5192214300984159,-0.1273876244815696,0.7245155605303717,-0.44167977258678687,-0.8079372193652433,-0.7893200182096586
walking,walking1-2026-06-30_22-27-21,1,1.2445259367440995,1.2445259367440995,-0.6774004740951877,0.2519693975700418,0.43682262048980136,-0.4007616432796567,-0.5354757526415572,-0.702226809531177
walking,walking1-2026-06-30_22-27-21,1,1.2545285207406909,1.2545285207406909,-0.5982415738196093,0.643187912195334,0.36900177120172833,-0.35706368215049933,-0.2207852808088874,-0.5305110289288766
walking,walking1-2026-06-30_22-27-21,1,1.2645311047372827,1.2645311047372827,-0.4240221816427911,1.095258381345215,0.25956435088556484,-0.3713646340864183,0.06445388957182732,-0.3165828898147508
walking,walking1-2026-06-30_22-27-21,1,1.2745336887338743,1.2745336887338743,-0.23746278915590122,1.506678695225855,0.03736772615271598,-0.45483857894236035,0.2736781849497285,-0.08681597880674553
walking,walking1-2026-06-30_22-27-21,1,1.2845362727304657,1.2845362727304657,-0.14978424842274396,1.9922767741561493,0.03492298167292983,-0.544570472016129,0.3486265115673407,0.13935676441354478
walking,walking1-2026-06-30_22-27-21,1,1.2945388567270573,1.2945388567270573,-0.17353700750966625,1.9695098821553276,0.12993632127313656,-0.6041402957275719,0.2695432925794603,0.33289729541555885
walking,walking1-2026-06-30_22-27-21,1,1.3045414407236489,1.3045414407236489,-0.36306727925226295,1.435881753170151,0.23227471961295626,-0.6392743757230933,0.11194472856642267,0.4688344208508
walking,walking1-2026-06-30_22-27-21,1,1.3145440247202405,1.3145440247202405,-0.5819835739469515,0.8506813940748035,0.3044781095678204,-0.6675199836307513,-0.013992377561319318,0.534897355656362
